Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
TATT,TAT Technologies Ltd. Ordinary Shares,$6.2201,-0.3199,-4.891%,55201497.00,Israel,,12620,Capital Goods,Aerospace
TBLA,Taboola.com Ltd. Ordinary Shares,$7.93,0.07,0.891%,1838836813.00,Israel,,855189,Finance,Business Services
TBLAW,Taboola.com Ltd. Warrant,$1.821,0.00,0.00%,0.00,Israel,,195,Finance,Business Services
TC,TuanChe Limited American Depositary Shares,$2.05,0.04,1.99%,41443727.00,China,2018,30102,Miscellaneous,Business Services
TCOM,Trip.com Group Limited American Depositary Shares,$27.89,0.39,1.418%,17778659331.00,China,,5007094,Miscellaneous,Business Services
TEAM,Atlassian Corporation Plc Class A Ordinary Shares,$358.46,-17.86,-4.746%,90601418831.00,United Kingdom,2015,1758406,Technology,Computer Software: Prepackaged Software
TEDU,Tarena International Inc. American Depositary Shares,$0.69,-0.05,-6.757%,39043720.00,China,2014,512103,Miscellaneous,Service to the Health Industry
TEF,Telefonica SA Common Stock,$4.26,-0.0767,-1.769%,24018107940.00,Spain,1988,2215523,Public Utilities,Telecommunications Equipment
TEL,TE Connectivity Ltd. New Switzerland Registered Shares,$154.41,0.48,0.312%,50386045146.00,Switzerland,,928946,Technology,Electronic Components
TEVA,Teva Pharmaceutical Industries Limited American Depositary Shares,$8.19,-0.06,-0.727%,9033628706.00,Israel,,8383797,Health Care,Biotechnology: Pharmaceutical Preparations
TIGO,Millicom International Cellular S.A. Common Stock,$30.6714,-0.5386,-1.726%,3086959675.00,Luxembourg,,100410,Public Utilities,Telecommunications Equipment
TIGR,UP Fintech Holding Ltd American Depositary Share representing fifteen Class A Ordinary Shares,$5.4191,-0.6209,-10.28%,819452794.00,China,2019,5410752,Finance,Investment Bankers/Brokers/Service
TINV,Tiga Acquisition Corp. Class A Ordinary Shares,$10.12,0.01,0.099%,349140000.00,Singapore,2021,8098,Finance,Business Services
TIOA,Tio Tech A Class A Ordinary Share,$9.82,0.06,0.615%,423487500.00,Germany,2021,492644,Finance,Business Services
TIOAU,Tio Tech A Units,$10.05,0.00,0.00%,0.00,Germany,2021,3041,Finance,Business Services
TIRX,TIAN RUIXIANG Holdings Ltd Class A Ordinary Shares,$2.02,-0.14,-6.481%,26007500.00,China,2021,100583,Finance,Specialty Insurers
TKC,Turkcell Iletisim Hizmetleri AS Common Stock,$3.685,0.085,2.361%,3217898528.00,Turkey,,789081,Public Utilities,Telecommunications Equipment
TLSA,Tiziana Life Sciences Ltd. Common Shares,$1.22,-0.04,-3.175%,118713496.00,United Kingdom,2018,62218,Health Care,Biotechnology: Pharmaceutical Preparations
TM,Toyota Motor Corporation Common Stock,$179.20,1.35,0.759%,248312287821.00,Japan,,176072,Capital Goods,Auto Manufacturing
TNP,Tsakos Energy Navigation Ltd Common Shares,$7.06,-0.21,-2.889%,148047854.00,Greece,2002,143490,Transportation,Marine Transportation
TNP^D,Tsakos Energy Navigation Ltd 8.75% Series D Cumulative Redeemable Perpetual Preferred Shares,$23.752,-0.178,-0.744%,,Greece,,2114,,
TNP^E,Tsakos Energy Navigation Ltd Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,$23.49,0.06,0.256%,,Greece,,11648,,
TNP^F,Tsakos Energy Navigation Ltd Series F Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Shares par value $1.00,$23.80,-0.01,-0.042%,,Greece,,12905,,
TOPS,TOP Ships Inc. Common Stock,$1.028,-0.062,-5.688%,40947267.00,Greece,,810194,Transportation,Marine Transportation
TOUR,Tuniu Corporation American Depositary Shares,$0.888,-0.0322,-3.499%,109681581.00,China,2014,234719,,
TRIB,Trinity Biotech plc American Depositary Shares,$1.78,-0.07,-3.784%,37205030.00,Ireland,1992,36419,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
TRIT,Triterras Inc. Class A Ordinary Shares,$3.705,-0.735,-16.554%,308240695.00,Singapore,,2021134,Technology,EDP Services
TRITW,Triterras Inc. Warrant,$0.78,-0.17,-17.895%,0.00,Singapore,,278171,Technology,EDP Services
TRMD,TORM plc Class A Common Stock,$7.0038,-0.4562,-6.115%,564506280.00,United Kingdom,,70574,Consumer Services,Marine Transportation
TRMR,Tremor International Ltd. American Depository Shares,$14.13,-1.17,-7.647%,1083495295.00,Israel,2021,215249,,
TROO,TROOPS Inc. Ordinary Shares ,$4.83,-0.46,-8.696%,490718330.00,China,,60567,Technology,Radio And Television Broadcasting And Communications Equipment
TRVG,trivago N.V. American Depositary Shares,$2.045,-0.095,-4.439%,732625450.00,Germany,2016,919055,Technology,EDP Services
TS,Tenaris S.A. American Depositary Shares,$19.77,0.05,0.254%,11669608245.00,Luxembourg,,1836302,Basic Industries,Steel/Iron Ore
TSEM,Tower Semiconductor Ltd. Ordinary Shares,$36.23,0.75,2.114%,3930558571.00,Israel,1994,509488,Technology,Semiconductors
TSM,Taiwan Semiconductor Manufacturing Company Ltd.,$121.19,4.04,3.449%,628500550440.00,Taiwan,1997,10344917,Technology,Semiconductors
TT,Trane Technologies plc,$187.11,0.46,0.246%,44446142706.00,Ireland,,1035313,Capital Goods,Auto Parts:O.E.M.
TTE,TotalEnergies SE,$46.62,0.63,1.37%,122640088502.00,France,,2293770,Energy,Oil & Gas Production
